Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Ethiopia,Africa,280833,244.28,2116,1.84,268,4391,3.82,20,0.02,1
Bahrain,Eastern Mediterranean,269401,15832.45,775,45.55,98,1384,81.34,1,0.06,0
Republic of Moldova,Europe,259667,6437.02,954,23.65,118,6257,155.11,12,0.3,2
Slovenia,Europe,259304,12472.91,630,30.3,31,4762,229.06,0,0,0
Libya,Eastern Mediterranean,256328,3730.42,19367,281.85,2892,3579,52.09,181,2.63,31
Armenia,Europe,230713,7785.83,1623,54.77,237,4621,155.94,24,0.81,0
Qatar,Eastern Mediterranean,226540,7863.1,1164,40.4,150,601,20.86,1,0.03,0
Bosnia and Herzegovina,Europe,205785,6272.37,290,8.84,35,9689,295.32,12,0.37,0
Kenya,Africa,204271,379.89,6312,11.74,591,3970,7.38,98,0.18,24
Republic of Korea,Western Pacific,202203,394.39,10672,20.82,1202,2104,4.1,25,0.05,5
Zambia,Africa,196490,1068.81,4174,22.7,197,3412,18.56,117,0.64,6
Nigeria,Africa,174759,84.78,3435,1.67,444,2160,1.05,26,0.01,11
Algeria,Africa,173922,396.62,10262,23.4,1358,4329,9.87,242,0.55,38
Mongolia,Western Pacific,167229,5101.1,9255,282.31,1019,827,25.23,45,1.37,4
Kyrgyzstan,Europe,165540,2537.32,6451,98.88,797,2354,36.08,79,1.21,10
Viet Nam,Western Pacific,165339,169.86,56228,57.77,7832,1881,1.93,1357,1.39,575
North Macedonia,Europe,156506,7512.12,420,20.16,54,5494,263.71,3,0.14,1
Afghanistan,Eastern Mediterranean,148572,381.66,3564,9.16,587,6804,17.48,289,0.74,30
Puerto Rico,Americas,147651,5161.08,3451,120.63,665,2581,90.22,13,0.45,1
Latvia,Europe,138925,7365.35,421,22.32,26,2556,135.51,6,0.32,0
Norway,Europe,137950,2544.62,1854,34.2,0,799,14.74,0,0,0
Estonia,Europe,133978,10099.85,1261,95.06,207,1272,95.89,1,0.08,0
Albania,Europe,133146,4626.66,255,8.86,25,2457,85.38,1,0.03,0
Uzbekistan,Europe,131978,394.33,6194,18.51,899,893,2.67,48,0.14,7
Mozambique,Africa,124962,399.81,13239,42.36,1421,1479,4.73,172,0.55,17
China,Western Pacific,120944,8.22,649,0.04,107,5637,0.38,3,0,0
Namibia,Africa,119442,4700.77,2478,97.52,157,3064,120.59,230,9.05,7
Botswana,Africa,115220,4899.59,13096,556.89,8530,1653,70.29,168,7.14,84
Zimbabwe,Africa,110855,745.85,10911,73.41,1309,3635,24.46,462,3.11,52
Kosovo[1],Europe,108470,5830.53,482,25.91,48,2256,121.27,1,0.05,0
Finland,Europe,108358,1955.67,3926,70.86,692,984,17.76,1,0.02,0
Ghana,Africa,104994,337.9,2891,9.3,1975,837,2.69,14,0.05,14
Cyprus,Europe,102716,8507.49,4147,343.48,493,426,35.28,22,1.82,4
Montenegro,Europe,102173,16267.88,688,109.54,0,1630,259.53,3,0.48,0
Uganda,Africa,94425,206.43,1701,3.72,230,2710,5.92,131,0.29,14
El Salvador,Americas,86620,1335.45,1929,29.74,0,2651,40.87,84,1.3,10
Cameroon,Africa,82064,309.14,0,0,0,1334,5.03,0,0,0
Cambodia,Western Pacific,78474,469.37,4773,28.55,560,1442,8.62,137,0.82,22
Maldives,South-East Asia,77633,14362.01,680,125.8,0,221,40.88,1,0.18,0
Luxembourg,Europe,73990,11819.9,439,70.13,5,822,131.31,0,0,0
Rwanda,Africa,72066,556.4,8329,64.31,720,831,6.42,74,0.57,10
Singapore,Western Pacific,65213,1114.69,899,15.37,111,38,0.65,1,0.02,1
Senegal,Africa,63520,379.36,5639,33.68,518,1385,8.27,99,0.59,18
Jamaica,Americas,53428,1804.29,1339,45.22,191,1200,40.52,22,0.74,4
Malawi,Africa,52987,276.98,3978,20.79,356,1685,8.81,172,0.9,24
Côte d’Ivoire,Africa,50341,190.84,694,2.63,63,332,1.26,8,0.03,2
Democratic Republic of the Congo,Africa,50193,56.04,1690,1.89,276,1038,1.16,15,0.02,0
Angola,Africa,42920,130.59,1041,3.17,105,1018,3.1,27,0.08,2
Madagascar,Africa,42740,154.35,71,0.26,5,947,3.42,3,0.01,0
Réunion,Africa,40245,4495.08,5630,628.83,3014,288,32.17,22,2.46,13
Trinidad and Tobago,Americas,38930,2781.73,1376,98.32,119,1084,77.46,45,3.22,7
Sudan,Eastern Mediterranean,37138,84.69,0,0,0,2776,6.33,0,0,0
Australia,Western Pacific,34611,135.73,1530,6,229,924,3.62,6,0.02,0
Malta,Europe,34439,7799.69,677,153.33,64,423,95.8,2,0.45,0
Cabo Verde,Africa,33830,6084.67,238,42.81,8,298,53.6,-1,-0.18,0
Fiji,Western Pacific,31513,3515.33,7089,790.79,1100,254,28.33,59,6.58,13
French Guiana,Americas,30329,10154.28,643,215.28,165,189,63.28,12,4.02,2
Eswatini,Africa,26628,2295.19,3281,282.8,408,806,69.47,47,4.05,8
Mauritania,Africa,26206,563.61,2198,47.27,233,571,12.28,33,0.71,4
Syrian Arab Republic,Eastern Mediterranean,26005,148.59,113,0.65,22,1917,10.95,9,0.05,1
Guinea,Africa,25914,197.32,860,6.55,0,232,1.77,30,0.23,0
Gabon,Africa,25405,1141.42,61,2.74,21,164,7.37,1,0.04,0
Suriname,Americas,25402,4330.14,527,89.83,51,651,110.97,20,3.41,2
Guyana,Americas,22597,2872.92,447,56.83,74,546,69.42,19,2.42,5
Martinique,Americas,22439,5979.51,5224,1392.08,0,129,34.38,25,6.66,0
Guadeloupe,Americas,21125,5279.61,2812,702.78,0,283,70.73,3,0.75,0
French Polynesia,Western Pacific,20480,7290.64,1088,387.32,432,153,54.47,7,2.49,4
Haiti,Americas,20307,178.09,230,2.02,0,560,4.91,15,0.13,0
Mayotte,Africa,19503,7148.8,29,10.63,9,174,63.78,0,0,0
Seychelles,Africa,18155,18460.15,614,624.32,99,91,92.53,12,12.2,5
Papua New Guinea,Western Pacific,17778,198.7,123,1.37,3,192,2.15,0,0,0
Togo,Africa,15924,192.35,748,9.04,54,154,1.86,6,0.07,1
Tajikistan,Europe,15619,163.76,455,4.77,0,122,1.28,2,0.02,0
Somalia,Eastern Mediterranean,15497,97.51,246,1.55,41,819,5.15,22,0.14,6
Bahamas,Americas,15011,3817.22,759,193.01,466,291,74,7,1.78,5
Andorra,Europe,14747,19086.26,170,220.02,69,128,165.66,1,1.29,0
Mali,Africa,14590,72.05,43,0.21,2,534,2.64,3,0.01,1
Belize,Americas,14163,3561.87,246,61.87,0,337,84.75,5,1.26,0
Curaçao,Americas,13669,8330.03,417,254.12,176,127,77.4,1,0.61,1
Lesotho,Africa,13603,634.99,723,33.75,0,377,17.6,14,0.65,0
Burkina Faso,Africa,13591,65.02,41,0.2,3,169,0.81,0,0,0
Congo,Africa,13216,239.5,60,1.09,0,178,3.23,1,0.02,0
Aruba,Americas,11765,11019.43,440,412.12,181,110,103.03,1,0.94,1
Djibouti,Eastern Mediterranean,11653,1179.45,16,1.62,1,156,15.79,1,0.1,0
Timor-Leste,South-East Asia,11100,841.9,713,54.08,118,26,1.97,0,0,0
South Sudan,Africa,11076,98.95,62,0.55,13,120,1.07,2,0.02,1
Equatorial Guinea,Africa,8911,635.15,48,3.42,31,123,8.77,0,0,0
Benin,Africa,8394,69.24,70,0.58,0,108,0.89,1,0.01,0
Gambia,Africa,8296,343.28,963,39.85,334,227,9.39,19,0.79,14
Guam,Western Pacific,8293,4913.64,56,33.18,22,143,84.73,0,0,0
Jersey,Europe,8260,7591.91,752,691.18,0,69,63.42,0,0,0
Iceland,Europe,8233,2412.65,844,247.33,111,30,8.79,0,0,0
Nicaragua,Americas,7592,114.6,279,4.21,0,195,2.94,1,0.02,0
Burundi,Africa,7518,63.23,945,7.95,13,9,0.08,1,0.01,0
Central African Republic,Africa,7151,148.06,3,0.06,0,98,2.03,0,0,0
Yemen,Eastern Mediterranean,7081,23.74,69,0.23,11,1378,4.62,4,0.01,1
Lao People's Democratic Republic,Western Pacific,6765,92.98,1780,24.47,199,7,0.1,2,0.03,0
Eritrea,Africa,6559,184.95,53,1.49,12,35,0.99,2,0.06,0
Sierra Leone,Africa,6287,78.81,59,0.74,0,120,1.5,2,0.03,0
Niger,Africa,5653,23.35,53,0.22,37,196,0.81,1,0,1
Saint Lucia,Americas,5632,3067.09,112,60.99,0,89,48.47,1,0.54,0
Liberia,Africa,5459,107.93,55,1.09,55,220,4.35,72,1.42,72
San Marino,Europe,5167,15224.82,36,106.08,20,90,265.19,0,0,0
Gibraltar,Europe,4980,14781.4,181,537.24,15,94,279.01,0,0,0
Chad,Africa,4973,30.28,4,0.02,0,174,1.06,0,0,0
Isle of Man,Europe,4760,5597.89,1111,1306.57,0,29,34.1,0,0,0
United States Virgin Islands,Americas,4663,4465.41,288,275.8,34,39,37.35,4,3.83,2
Guinea-Bissau,Africa,4498,228.56,285,14.48,0,76,3.86,2,0.1,0
Barbados,Americas,4407,1533.54,62,21.57,17,48,16.7,0,0,0
Mauritius,Africa,4393,345.42,608,47.81,0,20,1.57,1,0.08,0
Comoros,Africa,4028,463.2,7,0.8,0,147,16.9,0,0,0
Liechtenstein,Europe,3190,8364.58,7,18.35,0,58,152.08,0,0,0
Monaco,Europe,2897,7382.02,101,257.36,6,33,84.09,0,0,0
Saint Martin,Americas,2797,7235.06,218,563.9,0,30,77.6,0,0,0
Sint Maarten,Americas,2770,6459.59,63,146.91,10,34,79.29,0,0,0
Bermuda,Americas,2568,4123.78,30,48.17,0,33,52.99,0,0,0
Bhutan,South-East Asia,2532,328.15,32,4.15,8,2,0.26,0,0,0
New Zealand,Western Pacific,2521,52.28,14,0.29,1,26,0.54,0,0,0
British Virgin Islands,Americas,2500,8268.02,111,367.1,0,31,102.52,6,19.84,0
Turks and Caicos Islands,Americas,2486,6420.79,20,51.66,0,18,46.49,0,0,0
Sao Tome and Principe,Africa,2454,1119.73,30,13.69,0,37,16.88,0,0,0
Saint Vincent and the Grenadines,Americas,2291,2065.08,12,10.82,0,12,10.82,0,0,0
Bonaire,Americas,1683,8046.86,17,81.28,5,17,81.28,0,0,0
Saint Barthélemy,Americas,1335,13505.31,270,2731.41,0,1,10.12,0,0,0
Antigua and Barbuda,Americas,1303,1330.56,23,23.49,0,43,43.91,0,0,0
United Republic of Tanzania,Africa,1017,1.7,408,0.68,0,21,0.04,0,0,0
Faroe Islands,Europe,985,2015.76,6,12.28,0,2,4.09,1,2.05,0
Guernsey,Europe,956,1512.75,23,36.39,2,18,28.48,1,1.58,1
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,643,978.39,7,10.65,0,2,3.04,0,0,0
Saint Kitts and Nevis,Americas,594,1116.71,29,54.52,0,3,5.64,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Brunei Darussalam,Western Pacific,338,77.26,5,1.14,0,3,0.69,0,0,0
Dominica,Americas,218,302.82,9,12.5,0,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,196,340.53,6,10.42,0,2,3.47,0,0,0
Grenada,Americas,169,150.19,4,3.55,0,1,0.89,0,0,0
New Caledonia,Western Pacific,134,46.94,1,0.35,0,0,0,0,0,0
Greenland,Europe,122,214.89,30,52.84,0,0,0,0,0,0
Anguilla,Americas,114,759.9,1,6.67,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,61,1751.36,1,28.71,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,28,483.18,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Montserrat,Americas,21,420.08,0,0,0,1,20,0,0,0
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,7,362.13,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
